C:\Users\Maria\Desktop\images\109110.SWCH.jpg,1259,1,1500,256,logo
C:\Users\Maria\Desktop\images\8433774710080.SWCH.jpg,1301,233,1500,465,logo
C:\Users\Maria\Desktop\images\8435133862225.SWCH.jpg,651,139,823,334,logo
C:\Users\Maria\Desktop\images\8435476226135.SWCH.jpg,1336,198,1500,389,logo
C:\Users\Maria\Desktop\images\8435476226135.SWCH.jpg,1006,726,1120,878,logo
C:\Users\Maria\Desktop\images\8435476235687.SWCH.jpg,1272,208,1500,490,logo
C:\Users\Maria\Desktop\images\8435476235755.SWCH.jpg,1259,197,1500,487,logo
C:\Users\Maria\Desktop\images\8435476237247.SWCH.jpg,1219,156,1492,468,logo
C:\Users\Maria\Desktop\images\8435476237254.SWCH.jpg,1236,136,1500,459,logo
C:\Users\Maria\Desktop\images\8435476238848.SWCH.jpg,1344,406,1480,558,logo
C:\Users\Maria\Desktop\images\8435476240605.SWCH.jpg,1317,284,1500,531,logo
C:\Users\Maria\Desktop\images\8435476240612.SWCH.jpg,1308,261,1500,517,logo
C:\Users\Maria\Desktop\images\8435476240629.SWCH.jpg,1312,283,1500,536,logo
C:\Users\Maria\Desktop\images\8435476240667.SWCH.jpg,1314,290,1500,533,logo
C:\Users\Maria\Desktop\images\8435476240698.SWCH.jpg,1319,262,1500,503,logo
C:\Users\Maria\Desktop\images\8435476241121.SWCH.jpg,1303,237,1500,487,logo
C:\Users\Maria\Desktop\images\8435476241152.SWCH.jpg,1308,250,1500,497,logo
C:\Users\Maria\Desktop\images\8435476247307.SWCH.jpg,1237,179,1500,493,logo
C:\Users\Maria\Desktop\images\8435476247895.SWCH.jpg,1267,204,1500,484,logo
C:\Users\Maria\Desktop\images\8435476248236.SWCH.jpg,1255,158,1500,451,logo
C:\Users\Maria\Desktop\images\8435476248526.SWCH.jpg,1303,218,1500,458,logo
C:\Users\Maria\Desktop\images\8435476248540.SWCH.jpg,1301,228,1500,450,logo
C:\Users\Maria\Desktop\images\8435476248564.SWCH.jpg,1311,279,1500,493,logo
C:\Users\Maria\Desktop\images\8435476248571.SWCH.jpg,1305,279,1500,487,logo
C:\Users\Maria\Desktop\images\8435476248588.SWCH.jpg,1315,251,1500,475,logo
C:\Users\Maria\Desktop\images\8435476248595.SWCH.jpg,1309,312,1500,528,logo
C:\Users\Maria\Desktop\images\8435476248663.SWCH.jpg,1172,89,1367,315,logo
